eco:b4383 ['deoB'] [('NCBI-GeneID', ['948910']), ('NCBI-ProteinID', ['NP_418800']), ('Pasteur', ['deoB']), ('RegulonDB', ['ECK120000214']), ('ECOCYC', ['EG10220']), ('ASAP', ['ABE-0014377']), ('UniProt', ['P0A6K6'])]
eco:b4094 ['phnN'] [('NCBI-GeneID', ['948608']), ('NCBI-ProteinID', ['NP_418518']), ('Pasteur', ['phnN']), ('RegulonDB', ['ECK120000715']), ('ECOCYC', ['EG10723']), ('ASAP', ['ABE-0013417']), ('UniProt', ['P16690'])]
eco:b2842 ['kduD'] [('NCBI-GeneID', ['947323']), ('NCBI-ProteinID', ['NP_417319']), ('Pasteur', ['kduD']), ('RegulonDB', ['ECK120002229']), ('ECOCYC', ['EG12361']), ('ASAP', ['ABE-0009330']), ('UniProt', ['P37769'])]
eco:b0063 ['araB'] [('NCBI-GeneID', ['946017']), ('NCBI-ProteinID', ['NP_414605']), ('Pasteur', ['araB']), ('RegulonDB', ['ECK120000049']), ('ECOCYC', ['EG10053']), ('ASAP', ['ABE-0000223']), ('UniProt', ['P08204'])]
eco:b4198 ['ulaF'] [('NCBI-GeneID', ['948711']), ('NCBI-ProteinID', ['NP_418619']), ('Pasteur', ['sgaE']), ('RegulonDB', ['ECK120004355']), ('ECOCYC', ['G7860']), ('ASAP', ['ABE-0013734']), ('UniProt', ['P39306'])]
eco:b3092 ['uxaC'] [('NCBI-GeneID', ['947599']), ('NCBI-ProteinID', ['NP_417563']), ('Pasteur', ['uxaC']), ('RegulonDB', ['ECK120004451']), ('ECOCYC', ['G81']), ('ASAP', ['ABE-0010167']), ('UniProt', ['P0A8G3'])]
eco:b4197 ['ulaE'] [('NCBI-GeneID', ['948712']), ('NCBI-ProteinID', ['NP_418618']), ('Pasteur', ['sgaU']), ('RegulonDB', ['ECK120004354']), ('ECOCYC', ['G7859']), ('ASAP', ['ABE-0013732']), ('UniProt', ['P39305'])]
eco:b3580 ['lyxK'] [('NCBI-GeneID', ['948101']), ('NCBI-ProteinID', ['NP_418037']), ('Pasteur', ['lyx']), ('RegulonDB', ['ECK120002165']), ('ECOCYC', ['EG12284']), ('ASAP', ['ABE-0011696']), ('UniProt', ['P37677'])]
eco:b4323 ['uxuB'] [('NCBI-GeneID', ['946795']), ('NCBI-ProteinID', ['NP_418743']), ('Pasteur', ['uxuB']), ('RegulonDB', ['ECK120002446']), ('ECOCYC', ['EG20248']), ('ASAP', ['ABE-0014175']), ('UniProt', ['P39160'])]
eco:b1580 ['rspB'] [('NCBI-GeneID', ['946127']), ('NCBI-ProteinID', ['NP_416097']), ('Pasteur', ['rspB']), ('RegulonDB', ['ECK120003427']), ('ECOCYC', ['G6838']), ('ASAP', ['ABE-0005272']), ('UniProt', ['P38105'])]
eco:b4196 ['ulaD'] [('NCBI-GeneID', ['948714']), ('NCBI-ProteinID', ['NP_418617']), ('Pasteur', ['sgaH']), ('RegulonDB', ['ECK120004353']), ('ECOCYC', ['G7858']), ('ASAP', ['ABE-0013729']), ('UniProt', ['P39304'])]
eco:b3904 ['rhaB'] [('NCBI-GeneID', ['948399']), ('NCBI-ProteinID', ['NP_418340']), ('Pasteur', ['rhaB']), ('RegulonDB', ['ECK120001799']), ('ECOCYC', ['EG11868']), ('ASAP', ['ABE-0012738']), ('UniProt', ['P32171'])]
eco:b3902 ['rhaD'] [('NCBI-GeneID', ['948401']), ('NCBI-ProteinID', ['NP_418338']), ('Pasteur', ['rhaD']), ('RegulonDB', ['ECK120001797']), ('ECOCYC', ['EG11866']), ('ASAP', ['ABE-0012731']), ('UniProt', ['P32169'])]
eco:b3564 ['xylB'] [('NCBI-GeneID', ['948133']), ('NCBI-ProteinID', ['NP_418021']), ('Pasteur', ['xylB']), ('RegulonDB', ['ECK120001064']), ('ECOCYC', ['EG11075']), ('ASAP', ['ABE-0011637']), ('UniProt', ['P09099'])]
eco:b3565 ['xylA'] [('NCBI-GeneID', ['948141']), ('NCBI-ProteinID', ['NP_418022']), ('Pasteur', ['xylA']), ('RegulonDB', ['ECK120001063']), ('ECOCYC', ['EG11074']), ('ASAP', ['ABE-0011639']), ('UniProt', ['P00944'])]
eco:b1617 ['uidA'] [('NCBI-GeneID', ['946149']), ('NCBI-ProteinID', ['NP_416134']), ('Pasteur', ['uidA']), ('RegulonDB', ['ECK120001044']), ('ECOCYC', ['EG11055']), ('ASAP', ['ABE-0005410']), ('UniProt', ['P05804'])]
eco:b2028 ['ugd'] [('NCBI-GeneID', ['946571']), ('NCBI-ProteinID', ['NP_416532']), ('Pasteur', ['ugd']), ('RegulonDB', ['ECK120003677']), ('ECOCYC', ['G7091']), ('ASAP', ['ABE-0006734']), ('UniProt', ['P76373'])]
eco:b2042 ['wcaN'] [('NCBI-GeneID', ['946560']), ('NCBI-ProteinID', ['NP_416546']), ('Pasteur', ['galF']), ('RegulonDB', ['ECK120003679']), ('ASAP', ['ABE-0006771']), ('UniProt', ['P0AAB6'])]
eco:b0062 ['araA'] [('NCBI-GeneID', ['947511']), ('NCBI-ProteinID', ['NP_414604']), ('Pasteur', ['araA']), ('RegulonDB', ['ECK120000048']), ('ECOCYC', ['EG10052']), ('ASAP', ['ABE-0000221']), ('UniProt', ['P08202'])]
eco:b1521 ['uxaB'] [('NCBI-GeneID', ['945542']), ('NCBI-ProteinID', ['YP_025302']), ('Pasteur', ['uxaB']), ('RegulonDB', ['ECK120001054']), ('ECOCYC', ['EG11065']), ('ASAP', ['ABE-0005076']), ('UniProt', ['P0A6L7'])]
eco:b3091 ['uxaA'] [('NCBI-GeneID', ['947603']), ('NCBI-ProteinID', ['NP_417562']), ('Pasteur', ['uxaA']), ('RegulonDB', ['ECK120002375']), ('ECOCYC', ['EG12734']), ('ASAP', ['ABE-0010164']), ('UniProt', ['P42604'])]
eco:b4322 ['uxuA'] [('NCBI-GeneID', ['947082']), ('NCBI-ProteinID', ['NP_418742']), ('Pasteur', ['uxuA']), ('RegulonDB', ['ECK120001055']), ('ECOCYC', ['EG11066']), ('ASAP', ['ABE-0014173']), ('UniProt', ['P24215'])]
eco:b2843 ['kduI'] [('NCBI-GeneID', ['947319']), ('NCBI-ProteinID', ['NP_417320']), ('Pasteur', ['kduI']), ('RegulonDB', ['ECK120004026']), ('ECOCYC', ['G7463']), ('ASAP', ['ABE-0009332']), ('UniProt', ['Q46938'])]
eco:b3575 ['yiaK'] [('NCBI-GeneID', ['948096']), ('NCBI-ProteinID', ['NP_418032']), ('Pasteur', ['yiaK']), ('RegulonDB', ['ECK120002160']), ('ECOCYC', ['EG12279']), ('ASAP', ['ABE-0011682']), ('UniProt', ['P37672'])]
eco:b4297 ['yjhG'] [('NCBI-GeneID', ['946829']), ('NCBI-ProteinID', ['NP_418717']), ('Pasteur', ['yjhG']), ('RegulonDB', ['ECK120004405']), ('ECOCYC', ['G7910']), ('ASAP', ['ABE-0014087']), ('UniProt', ['P39358'])]
eco:b4298 ['yjhH'] [('NCBI-GeneID', ['948825']), ('NCBI-ProteinID', ['NP_418718']), ('Pasteur', ['yjhH']), ('RegulonDB', ['ECK120004406']), ('ECOCYC', ['G7911']), ('ASAP', ['ABE-0014089']), ('UniProt', ['P39359'])]
eco:b2705 ['srlD'] [('NCBI-GeneID', ['948937']), ('NCBI-ProteinID', ['NP_417185']), ('Pasteur', ['srlD']), ('RegulonDB', ['ECK120000960']), ('ECOCYC', ['EG10971']), ('ASAP', ['ABE-0008896']), ('UniProt', ['P05707'])]
eco:b2168 ['fruK'] [('NCBI-GeneID', ['946676']), ('NCBI-ProteinID', ['NP_416673']), ('Pasteur', ['fruK']), ('RegulonDB', ['ECK120000331']), ('ECOCYC', ['EG10337']), ('ASAP', ['ABE-0007174']), ('UniProt', ['P0AEW9'])]
eco:b4085 ['alsE'] [('NCBI-GeneID', ['948595']), ('NCBI-ProteinID', ['NP_418509']), ('Pasteur', ['alsE']), ('RegulonDB', ['ECK120001884']), ('ECOCYC', ['EG11957']), ('ASAP', ['ABE-0013382']), ('UniProt', ['P32719'])]
eco:b2704 ['srlB'] [('NCBI-GeneID', ['948971']), ('NCBI-ProteinID', ['NP_417184']), ('Pasteur', ['srlB']), ('RegulonDB', ['ECK120000959']), ('ECOCYC', ['EG10970']), ('ASAP', ['ABE-0008894']), ('UniProt', ['P05706'])]
eco:b4084 ['alsK'] [('NCBI-GeneID', ['948596']), ('NCBI-ProteinID', ['NP_418508']), ('Pasteur', ['alsK']), ('RegulonDB', ['ECK120001883']), ('ECOCYC', ['EG11956']), ('ASAP', ['ABE-0013380']), ('UniProt', ['P32718'])]
eco:b4465 ['yggP'] [('NCBI-GeneID', ['2847686']), ('NCBI-ProteinID', ['YP_026187']), ('RegulonDB', ['ECK120004081']), ('ECOCYC', ['G7520']), ('ASAP', ['ABE-0174095']), ('UniProt', ['P52048'])]
eco:b1819 ['manZ'] [('NCBI-GeneID', ['946342']), ('NCBI-ProteinID', ['NP_416333']), ('RegulonDB', ['ECK120000562']), ('ECOCYC', ['EG10569']), ('ASAP', ['ABE-0006058']), ('UniProt', ['P69805'])]
eco:b1613 ['manA'] [('NCBI-GeneID', ['944840']), ('NCBI-ProteinID', ['NP_416130']), ('Pasteur', ['manA']), ('RegulonDB', ['ECK120000559']), ('ECOCYC', ['EG10566']), ('ASAP', ['ABE-0005398']), ('UniProt', ['P00946'])]
eco:b2048 ['cpsG'] [('NCBI-GeneID', ['946574']), ('NCBI-ProteinID', ['NP_416552']), ('Pasteur', ['cpsG']), ('RegulonDB', ['ECK120000158']), ('ECOCYC', ['EG10162']), ('ASAP', ['ABE-0006788']), ('UniProt', ['P24175'])]
eco:b2049 ['cpsB'] [('NCBI-GeneID', ['946580']), ('NCBI-ProteinID', ['NP_416553']), ('Pasteur', ['cpsB']), ('RegulonDB', ['ECK120000157']), ('ECOCYC', ['EG10161']), ('ASAP', ['ABE-0006791']), ('UniProt', ['P24174'])]
eco:b3600 ['mtlD'] [('NCBI-GeneID', ['948117']), ('NCBI-ProteinID', ['NP_418057']), ('Pasteur', ['mtlD']), ('RegulonDB', ['ECK120000609']), ('ECOCYC', ['EG10616']), ('ASAP', ['ABE-0011767']), ('UniProt', ['P09424'])]
eco:b2053 ['gmd'] [('NCBI-GeneID', ['946562']), ('NCBI-ProteinID', ['NP_416557']), ('Pasteur', ['gmd']), ('RegulonDB', ['ECK120001721']), ('ECOCYC', ['EG11787']), ('ASAP', ['ABE-0006803']), ('UniProt', ['P0AC88'])]
eco:b0394 ['mak'] [('NCBI-GeneID', ['949086']), ('NCBI-ProteinID', ['NP_414928']), ('Pasteur', ['yajF']), ('RegulonDB', ['ECK120001261']), ('ECOCYC', ['EG11288']), ('ASAP', ['ABE-0001372']), ('UniProt', ['P23917'])]
eco:b2052 ['wcaG'] [('NCBI-GeneID', ['946563']), ('NCBI-ProteinID', ['NP_416556']), ('Pasteur', ['fcl']), ('RegulonDB', ['ECK120001722']), ('ASAP', ['ABE-0006801']), ('UniProt', ['P32055'])]
eco:b2245 ['rhmA'] [('NCBI-GeneID', ['948054']), ('NCBI-ProteinID', ['NP_416748']), ('Pasteur', ['yfaU']), ('RegulonDB', ['ECK120003734']), ('ASAP', ['ABE-0007431']), ('UniProt', ['P76469'])]
eco:b2803 ['fucK'] [('NCBI-GeneID', ['946022']), ('NCBI-ProteinID', ['NP_417283']), ('Pasteur', ['fucK']), ('RegulonDB', ['ECK120000344']), ('ECOCYC', ['EG10350']), ('ASAP', ['ABE-0009191']), ('UniProt', ['P11553'])]
eco:b2802 ['fucI'] [('NCBI-GeneID', ['946195']), ('NCBI-ProteinID', ['NP_417282']), ('Pasteur', ['fucI']), ('RegulonDB', ['ECK120000343']), ('ECOCYC', ['EG10349']), ('ASAP', ['ABE-0009189']), ('UniProt', ['P69922'])]
eco:b2800 ['fucA'] [('NCBI-GeneID', ['947282']), ('NCBI-ProteinID', ['NP_417280']), ('Pasteur', ['fucA']), ('RegulonDB', ['ECK120000342']), ('ECOCYC', ['EG10348']), ('ASAP', ['ABE-0009179']), ('UniProt', ['P0AB87'])]
eco:b2247 ['rhmD'] [('NCBI-GeneID', ['945881']), ('NCBI-ProteinID', ['NP_416750']), ('RegulonDB', ['ECK120003736']), ('ECOCYC', ['G7160']), ('ASAP', ['ABE-0007436']), ('UniProt', ['P77215'])]
