,ec,in_degree,out_degree,eigenvector_centrality,closeness centrality,Betweenness centrality,pagerank,hits,class
583,eco:b0425,0.0022123893805309734,0.0022123893805309734,9.162614558858503e-05,0.09639808078614473,0.00020450039309707283,0.0006492460056779685,8.77140353369032e-06,2
584,eco:b0134,0.00331858407079646,0.0055309734513274336,0.0010959828383442572,0.10440456590127302,0.0011233090792399144,0.0007089898210700999,0.00026374158668820665,2
585,eco:b3475,0.0022123893805309734,0.0011061946902654867,3.5144310968904856e-05,0.08382441807490847,1.2250218053881358e-06,0.0010170912041267233,8.01235957632073e-06,2
586,eco:b0776,0.00331858407079646,0.00331858407079646,1.552917069774632e-14,0.005309734513274336,8.575152637716951e-05,0.0017010383160315486,1.073190312605128e-37,2
587,eco:b0774,0.0022123893805309734,0.0022123893805309734,4.974306421179173e-15,0.004827031375703942,7.840139554484069e-05,0.0013357449156102647,3.4248595588265823e-38,2
588,eco:b3973,0.0022123893805309734,0.0022123893805309734,2.8987958503207263e-16,0.002896218825422365,0.0,0.0014769714343685382,1.7104343082664867e-39,1
589,eco:b3412,0.00331858407079646,0.00331858407079646,2.1502172677313534e-14,0.005138452754781616,2.2050392496986444e-05,0.0015869908228409411,1.4872172655862589e-37,2
590,eco:b0777,0.0022123893805309734,0.0022123893805309734,1.7525886065985357e-14,0.0031858407079646016,0.0,0.0011003373066510698,1.2141463314228746e-37,2
591,eco:b1593,0.0022123893805309734,0.0022123893805309734,1.6417777284937571e-15,0.004191895668374476,6.615117749095933e-05,0.0014166956331581318,1.1119426874337073e-38,2
592,eco:b0775,0.00331858407079646,0.00331858407079646,6.6104288126988695e-16,0.0035398230088495575,4.900087221552543e-05,0.002109089032591437,4.204585962383556e-39,2
593,eco:b3551,0.0022123893805309734,0.0022123893805309734,2.8987958503207263e-16,0.002896218825422365,0.0,0.0014769714343685382,1.7104343082664867e-39,2
594,eco:b0628,0.0022123893805309734,0.0022123893805309734,9.208540706693653e-18,0.0022123893805309734,0.0,0.001673227473114088,2.0206032964985842e-48,2
595,eco:b0630,0.0022123893805309734,0.0022123893805309734,9.208540706693653e-18,0.0022123893805309734,0.0,0.001673227473114088,2.0206032964985842e-48,2
596,eco:b4386,0.0022123893805309734,0.0022123893805309734,9.208540706693653e-18,0.0022123893805309734,0.0,0.001673227473114088,2.0206032964985842e-48,2
597,eco:b0827,0.00331858407079646,0.0022123893805309734,1.6411326053830855e-07,0.06875032670374794,0.0019833103029233924,0.002293338044742076,1.564537943485199e-08,2
598,eco:b3857,0.0022123893805309734,0.0011061946902654867,9.003527480415007e-09,0.06159501045919871,0.0,0.0013309211064214638,8.08873740360869e-10,2
599,eco:b1096,0.0,0.0022123893805309734,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,1.0877457849968331e-07,2
600,eco:b3177,0.004424778761061947,0.00331858407079646,1.010826718815529e-05,0.08114065152668005,0.001099285936467643,0.0011092429355915607,6.135675766706932e-07,2
601,eco:b2765,0.004424778761061947,0.0055309734513274336,0.0012308743447692137,0.10631182116469276,0.004587706661178569,0.0015375498802221513,0.00014900129000285653,2
602,eco:b0785,0.0022123893805309734,0.0022123893805309734,5.425364983831478e-05,0.08935392191152455,0.00459995687923245,0.0015141983751617318,6.236193930903899e-06,2
603,eco:b0782,0.0022123893805309734,0.0022123893805309734,2.9835785020437715e-06,0.07772885069572887,0.003294083634688697,0.0018650554759988493,3.2241704099219815e-07,2
604,eco:b1865,0.0011061946902654867,0.00331858407079646,6.747683059897202e-05,0.09012266801343041,0.0,0.0005133424558375278,0.0001482565609302234,2
605,eco:b2303,0.004424778761061947,0.00331858407079646,0.0012308637289094144,0.106239940284933,1.633362407184181e-06,0.0011327698518025955,0.000147901876780412,2
606,eco:b0142,0.0022123893805309734,0.0022123893805309734,1.0001781998090399e-05,0.08018824785987033,0.0,0.000824976113451899,5.652249119051113e-07,1
