,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
145,eco:b2263,1.605979678936297e-16,0.05211220103870806,0.0023785025750845583,0.0023778054758538765,0.06046981103145829,2
146,eco:b3843,6.69844260441932e-14,0.06347126589226966,0.003999118866572404,0.004002569507764276,0.07332766034158775,2
147,eco:b4040,1.212633310173562e-12,0.06853848326563737,0.0321249557925212,0.032135785528294776,0.08196406088190196,1
148,eco:b2232,9.070277937005257e-16,0.055350386941402346,2.718686999657027e-05,2.718686999657027e-05,0.06401423354570993,2
149,eco:b4211,3.891600556026004e-15,0.05905967037419707,0.0,0.0,0.06636650325186036,2
150,eco:b2262,3.832832297256021e-15,0.05912278329670571,0.002505723184683893,0.0025064202839145742,0.06749504715497073,2
151,eco:b0662,4.023689019461435e-15,0.05909471646390404,0.0004200719964085475,0.00041834667581261127,0.0678115899570627,2
152,eco:b3957,5.844935220231796e-26,0.0026011560693641614,0.0024599635994698855,0.0024625030323816533,0.002890173410404624,2
153,eco:b3172,3.610531897674238e-06,0.1088666503486409,0.0,0.0,0.12490599477593732,2
154,eco:b4254,6.570951390777148e-05,0.12407004166959726,0.0012171352567695306,0.0012171352567695306,0.14652270898658235,2
155,eco:b2290,0.23450070316895846,0.20249372953430478,0.01903845568055135,0.01885123987889074,0.2638585122327893,2
156,eco:b3870,0.004869296919612874,0.16062325191124371,0.001929840277520191,0.0025932611683321775,0.19797663399542018,2
157,eco:b2874,6.193047479974756e-05,0.12147647741518798,0.006729049177814821,0.006535231324578829,0.13822435592666862,2
158,eco:b3960,2.9092437747760067e-27,0.001445086705202312,2.091297692043867e-06,2.091297692043867e-06,0.001445086705202312,2
159,eco:b0928,0.04249561965041598,0.19442877037284478,0.09817217056097212,0.0960323787539846,0.2581249113763561,2
160,eco:b3359,5.686249196153106e-27,0.002890173410404624,0.00126165002192875,0.0012641894548405174,0.002890173410404624,2
161,eco:b1524,0.007084362220648123,0.16368575967286506,0.008225498651960518,0.007704624615618881,0.20497899659749363,2
162,eco:b1761,0.007936571609174914,0.1694799458559753,0.004430513750061128,0.0049133217411021935,0.21406067840316367,2
