,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,clustering_coefficient,class
335,eco:b0386,0.00014653327841923728,0.11943562125537638,0.0,0.0,0.13793226178971588,1.0,2
336,eco:b1297,1.932228507893558e-06,0.10260207714964478,0.00039335801738253135,0.0004357001905532562,0.12107139928141038,0.6666666666666666,2
337,eco:b1747,1.5927616970690462e-08,0.08513030727881041,0.0002091752320014241,0.00027173216471944425,0.09680144997065604,0.5,2
338,eco:b1298,0.00017697321127818852,0.12791773326098013,0.002773862201620314,0.0027315200284495906,0.1522801192278885,0.5,2
339,eco:b1444,0.0001770372267934468,0.12869054856568266,0.00444045630307317,0.004934724101516572,0.1540423003426267,0.5,2
340,eco:b1744,0.00341939795427036,0.14279362238109994,0.005559278131942416,0.005502591784169216,0.17820425252416527,0.8241758241758241,2
341,eco:b1746,0.00014007620243351284,0.1198153383197735,0.00399462709749258,0.003939383837210816,0.13864732474634575,0.0,2
342,eco:b1748,5.7518178156458055e-06,0.10333788618214594,0.002460684928639341,0.0024075334393722056,0.11596918074067179,0.0,2
343,eco:b1745,2.37395775565392e-07,0.09171189037618006,0.0010259611034730686,0.0009862486342587368,0.1020796139539343,0.0,2
344,eco:b2026,3.553156033602993e-07,0.10406221716005816,0.0015883514571346615,0.0015883514571346615,0.11710773855288381,0.0,2
345,eco:b2024,1.4601495734761736e-08,0.09109797664365078,0.0,0.0,0.09955576844521824,0.0,2
346,eco:b2021,0.00035019070025971914,0.1229731220857314,0.003400511442439055,0.003409358208550283,0.14276060054079673,0.14285714285714285,2
347,eco:b2022,1.432669262511254e-05,0.1053149007716152,0.0015883514571346615,0.0015883514571346615,0.11688584357245971,0.0,2
348,eco:b2020,5.859570628072078e-07,0.09205654235053624,0.0,0.0,0.09940911766265445,0.0,2
349,eco:b2019,8.666610238218755e-06,0.12126854415583017,0.0040831955449600246,0.004084960264684593,0.14262357503172354,0.5,2
350,eco:b0349,0.0023433572420987507,0.13926234178213584,0.006956357122797619,0.006977106082957545,0.1685045428516591,0.4727272727272727,2
351,eco:b0352,0.1682357036100672,0.1695241932143785,0.0019268372274956998,0.001947873163681825,0.21536177520943553,0.8831168831168831,2
352,eco:b1385,0.0004608594422312515,0.12565399291858267,0.003879967593777885,0.003886810277408856,0.14284628139361583,0.3333333333333333,2
353,eco:b1398,1.9762738863771782e-05,0.10753400315837441,0.00040341480030728317,0.00041815607966439513,0.11929041065330559,0.6666666666666666,2
354,eco:b3942,0.0011658943540248752,0.1379293126096717,0.0005788272349423808,0.0005286209281317126,0.16422079915006993,0.5,2
355,eco:b1392,4.205012803325141e-06,0.09745870666193633,0.00012687492934016452,0.0001660326650755055,0.10813426733784573,0.3333333333333333,2
356,eco:b1394,6.361959926065404e-05,0.10706401188582909,0.0009012847644104031,0.000910959941431521,0.12062384930992152,0.0,2
357,eco:b1387,0.001556324710697597,0.125140464467319,0.0024355074536948633,0.002428664770063836,0.1462233601243397,0.0,2
358,eco:b2541,3.914969281279832e-06,0.10101544709062966,0.0015883514571346615,0.001588351457134661,0.11158815492330208,0.0,2
359,eco:b2542,1.596633211979787e-07,0.08875451420100613,0.0,0.0,0.09568008010608701,0.0,2
360,eco:b1397,0.038113483737547665,0.15056082310680818,0.007990995465041733,0.007858017081988784,0.19249208656172728,0.45714285714285713,2
361,eco:b0347,3.908455164309882e-06,0.10097380840675059,0.0,0.0,0.11086272873541671,0.0,2
362,eco:b1393,0.0021519859710700017,0.125140464467319,6.637886686532913e-06,7.467622522349529e-06,0.14751099160783626,0.6666666666666666,2
363,eco:b0348,9.58563558120655e-05,0.11715086522944856,0.004755571676137509,0.004755571676137507,0.13375490124674064,0.0,2
364,eco:b1395,0.0051111126658988535,0.1251724369927322,4.820370093791758e-06,5.235238011700065e-06,0.148417774342693,0.7333333333333333,2
365,eco:b1396,1.9762738863771782e-05,0.10753400315837441,0.00040341480030728317,0.00041815607966439513,0.11929041065330559,0.6666666666666666,2
366,eco:b0350,0.006953427024676154,0.141066777538023,0.0005530574969989831,0.0006261775448610999,0.16551058964007803,0.0,2
367,eco:b0351,0.035752383368926804,0.14945848639095605,0.0039039109522356775,0.004067306175777715,0.18780186081600647,0.6,2
